year,gdp_per_capita_yearly_growth,name,year_total_gdp,current_total_gdp,iso3166_1_alpha2,population_total,income_per_person,life_expectancy_at_birth,life_expectancy_years,yearly_co2_emissions_1000_tonnes,democracy_score_use_as_color,agriculture_percent_of_gdp,industry_percent_of_gdp,services_percent_of_gdp,agriculture_workers_percent_of_employment,industry_workers_percent_of_employment,service_workers_percent_of_employment,self_employed_percent_of_employment,electricity_generation_per_person,natural_gas_production_per_person,hydro_power_generation_per_person,nuclear_power_generation_per_person,oil_production_per_person,electricity_use_per_person,residential_electricity_use_per_person,working_hours_per_week,gdpperworking_hour_us_inflation_adjusted,latitude,longitude
2004,3.736,Indonesia,1404000000000,2280000000000,ID,223614649,6246,66.53,66.53,337635.358,8,14.33578,44.62762,41.0366,43.33,18,38.66,64.221,537.35299,0.30015,0.0037,NA,0.24842,473.67648,186.7,40.5114,NA,-5,120
2005,4.464,Indonesia,1484000000000,2280000000000,ID,226712730,6525,68.57,68.57,341991.754,8,13.12662,46.54106,40.33232,43.97,18.75,37.22,61.93,561.76819,0.2983,0.00406,NA,0.23693,499.71609,188.5,40.1114,NA,-5,120
2006,4.018,Indonesia,1561000000000,2280000000000,ID,229838202,6788,68.82,68.82,345119.705,8,12.9738,46.94356,40.08264,42.05,18.58,39.33,61.373,579.14654,0.29088,0.0036,NA,0.21853,514.86654,198,40.4878,NA,-5,120
2007,4.85,Indonesia,1655000000000,2280000000000,ID,232989141,7117,69.09,69.09,375544.804,8,13.71668,46.79914,39.48418,41.24,18.8,39.9,61.56,611.2302,0.27622,0.00417,NA,0.20531,544.71208,211.7,40.8582,NA,-5,120
2008,4.523,Indonesia,1749000000000,2280000000000,ID,236159276,7439,69.34,69.34,416560.199,8,14.48174,48.06074,37.45752,41.07,18.43,40.43,62.104,632.79327,0.28096,0.00422,NA,0.2093,568.39605,222,40.3533,NA,-5,120
2009,3.158,Indonesia,1823000000000,2280000000000,ID,239340478,7673,69.6,69.6,446409.579,8,15.29015,47.65212,37.05773,40.43,18.28,41.23,61.228,655.13365,0.28914,0.00412,NA,0.20225,592.15642,NA,40.2492,NA,-5,120
2010,4.73,Indonesia,1929000000000,2280000000000,ID,242524123,8036,69.9,69.9,428760.308,8,13.92921,42.77587,40.66599,39.11,18.64,42.2,60.187,700.09531,0.31808,0.00634,NA,0.20049,634.17609,NA,40.516,NA,-5,120
2011,4.993,Indonesia,2046000000000,2280000000000,ID,245707511,8438,70.22,70.22,603665.207,8,13.51229,43.91342,40.5846,37.19,19.99,42.82,57.466,746.49733,0.29837,NA,NA,0.18846,678.64429,NA,40.0512,NA,-5,120
2012,4.77,Indonesia,2165000000000,2280000000000,ID,248883232,8840,70.54,70.54,637078.911,NA,13.37397,43.59374,40.87337,35.93,21.07,43,54.794,804.87544,0.27896,NA,NA,0.1793,732.10235,NA,39.5715,NA,-5,120
2013,4.294,Indonesia,2280000000000,2280000000000,ID,252032263,9220,70.83,70.83,490226.562,NA,13.3567,42.63568,41.51654,34.98,20.95,44.07,53.601,857.787,0.2731,NA,NA,0.16942,773.29385,NA,38.7188,NA,-5,120
1801,-0.02601,India,123000000000,6628000000000,IN,168907299,728.1,25.44,25.44,NA,NA,-1,-1,-1,-1,-1,-1,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,22,79
1802,-0.02601,India,123200000000,6628000000000,IN,169240359,727.9,25,25,NA,NA,-1,-1,-1,-1,-1,-1,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,22,79
1803,-0.02601,India,123400000000,6628000000000,IN,169574075,727.7,24,24,NA,NA,-1,-1,-1,-1,-1,-1,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,22,79
1804,-0.02601,India,123600000000,6628000000000,IN,169908450,727.5,23.5,23.5,NA,NA,-1,-1,-1,-1,-1,-1,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,22,79
1805,-0.02601,India,123800000000,6628000000000,IN,170243483,727.3,25.44,25.44,NA,NA,-1,-1,-1,-1,-1,-1,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,22,79
1806,-0.02601,India,124000000000,6628000000000,IN,170579178,727.1,25.44,25.44,NA,NA,-1,-1,-1,-1,-1,-1,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,22,79
1807,-0.02601,India,124200000000,6628000000000,IN,170915534,727,25.44,25.44,NA,NA,-1,-1,-1,-1,-1,-1,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,22,79
1808,-0.02601,India,124500000000,6628000000000,IN,171252554,726.8,25.44,25.44,NA,NA,-1,-1,-1,-1,-1,-1,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,22,79
1809,-0.02601,India,124700000000,6628000000000,IN,171590238,726.6,25.44,25.44,NA,NA,-1,-1,-1,-1,-1,-1,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,22,79
1810,-0.02601,India,124900000000,6628000000000,IN,171940819,726.4,25.44,25.44,NA,NA,-1,-1,-1,-1,-1,-1,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,22,79
1811,-0.02601,India,125100000000,6628000000000,IN,172295303,726.2,25.44,25.44,NA,NA,-1,-1,-1,-1,-1,-1,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,22,79
1812,-0.02601,India,125300000000,6628000000000,IN,172665988,726,23,23,NA,NA,-1,-1,-1,-1,-1,-1,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,22,79
1813,-0.02601,India,125500000000,6628000000000,IN,173052964,725.8,25.44,25.44,NA,NA,-1,-1,-1,-1,-1,-1,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,22,79
1814,-0.02601,India,125700000000,6628000000000,IN,173456323,725.6,25.44,25.44,NA,NA,-1,-1,-1,-1,-1,-1,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,22,79
1815,-0.02601,India,126000000000,6628000000000,IN,173876158,725.4,25.44,25.44,NA,NA,-1,-1,-1,-1,-1,-1,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,22,79
1816,-0.02601,India,126200000000,6628000000000,IN,174312560,725.3,25.44,25.44,NA,NA,-1,-1,-1,-1,-1,-1,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,22,79
1817,-0.02601,India,126400000000,6628000000000,IN,174765623,725.1,25.44,25.44,NA,NA,-1,-1,-1,-1,-1,-1,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,22,79
1818,-0.02601,India,126600000000,6628000000000,IN,175235440,724.9,25.44,25.44,NA,NA,-1,-1,-1,-1,-1,-1,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,22,79
1819,-0.02601,India,126800000000,6628000000000,IN,175722104,724.7,25.44,25.44,NA,NA,-1,-1,-1,-1,-1,-1,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,22,79
1820,-0.02601,India,127000000000,6628000000000,IN,176225709,724.5,25.44,25.44,NA,NA,-1,-1,-1,-1,-1,-1,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,22,79
1821,-6.1e-4,India,127500000000,6628000000000,IN,176746350,724.5,25.44,25.44,NA,NA,-1,-1,-1,-1,-1,-1,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,22,79
1822,-6.1e-4,India,128000000000,6628000000000,IN,177284123,724.5,25.44,25.44,NA,NA,-1,-1,-1,-1,-1,-1,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,22,79
1823,-6.1e-4,India,128500000000,6628000000000,IN,177839121,724.5,25.44,25.44,NA,NA,-1,-1,-1,-1,-1,-1,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,22,79
1824,-6.1e-4,India,129000000000,6628000000000,IN,178411441,724.5,25.44,25.44,NA,NA,-1,-1,-1,-1,-1,-1,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,22,79
1825,-6.1e-4,India,129500000000,6628000000000,IN,179001179,724.5,25.44,25.44,NA,NA,-1,-1,-1,-1,-1,-1,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,22,79
1826,-6.1e-4,India,130000000000,6628000000000,IN,179608432,724.5,25.44,25.44,NA,NA,-1,-1,-1,-1,-1,-1,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,22,79
1827,-6.1e-4,India,130500000000,6628000000000,IN,180233297,724.5,25.44,25.44,NA,NA,-1,-1,-1,-1,-1,-1,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,22,79
1828,-6.1e-4,India,131000000000,6628000000000,IN,180875870,724.5,25.44,25.44,NA,NA,-1,-1,-1,-1,-1,-1,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,22,79
1829,-6.1e-4,India,131500000000,6628000000000,IN,181536251,724.5,25.44,25.44,NA,NA,-1,-1,-1,-1,-1,-1,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,22,79
1830,-6.1e-4,India,132000000000,6628000000000,IN,182214537,724.5,25.44,25.44,NA,NA,-1,-1,-1,-1,-1,-1,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,22,79
1831,-6.1e-4,India,132500000000,6628000000000,IN,182910827,724.4,25.44,25.44,NA,NA,-1,-1,-1,-1,-1,-1,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,22,79
1832,-6.1e-4,India,133000000000,6628000000000,IN,183609778,724.4,23,23,NA,NA,-1,-1,-1,-1,-1,-1,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,22,79
1833,-6.1e-4,India,133500000000,6628000000000,IN,184311399,724.4,22,22,NA,NA,-1,-1,-1,-1,-1,-1,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,22,79
1834,-6.1e-4,India,134000000000,6628000000000,IN,185015702,724.4,25.44,25.44,NA,NA,-1,-1,-1,-1,-1,-1,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,22,79
1835,-6.1e-4,India,134500000000,6628000000000,IN,185722696,724.4,25.44,25.44,NA,NA,-1,-1,-1,-1,-1,-1,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,22,79
1836,-6.1e-4,India,135000000000,6628000000000,IN,186432391,724.4,25.44,25.44,NA,NA,-1,-1,-1,-1,-1,-1,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,22,79
1837,-6.1e-4,India,135500000000,6628000000000,IN,187144799,724.4,24.3,24.3,NA,NA,-1,-1,-1,-1,-1,-1,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,22,79
1838,-6.1e-4,India,136100000000,6628000000000,IN,187859929,724.4,23.9,23.9,NA,NA,-1,-1,-1,-1,-1,-1,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,22,79
1839,-6.1e-4,India,136600000000,6628000000000,IN,188577791,724.4,25.44,25.44,NA,NA,-1,-1,-1,-1,-1,-1,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,22,79
1840,-6.1e-4,India,137100000000,6628000000000,IN,189298397,724.4,25.44,25.44,NA,NA,-1,-1,-1,-1,-1,-1,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,22,79
1841,-6.1e-4,India,137600000000,6628000000000,IN,190021756,724.4,25.44,25.44,NA,NA,-1,-1,-1,-1,-1,-1,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,22,79
1842,-6.1e-4,India,138100000000,6628000000000,IN,190747880,724.4,25.44,25.44,NA,NA,-1,-1,-1,-1,-1,-1,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,22,79
1843,-6.1e-4,India,138700000000,6628000000000,IN,191476778,724.4,25.44,25.44,NA,NA,-1,-1,-1,-1,-1,-1,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,22,79
1844,-6.1e-4,India,139200000000,6628000000000,IN,192208461,724.4,25.44,25.44,NA,NA,-1,-1,-1,-1,-1,-1,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,22,79
1845,-6.1e-4,India,139700000000,6628000000000,IN,192942941,724.4,25.44,25.44,NA,NA,-1,-1,-1,-1,-1,-1,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,22,79
1846,-6.1e-4,India,140300000000,6628000000000,IN,193680227,724.4,25.44,25.44,NA,NA,-1,-1,-1,-1,-1,-1,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,22,79
1847,-6.1e-4,India,140800000000,6628000000000,IN,194420330,724.4,25.44,25.44,NA,NA,-1,-1,-1,-1,-1,-1,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,22,79
1848,-6.1e-4,India,141300000000,6628000000000,IN,195163262,724.4,25.44,25.44,NA,NA,-1,-1,-1,-1,-1,-1,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,22,79
1849,-6.1e-4,India,141900000000,6628000000000,IN,195909032,724.4,25.44,25.44,NA,NA,-1,-1,-1,-1,-1,-1,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,22,79
1850,-6.1e-4,India,142400000000,6628000000000,IN,196657653,724.4,25.44,25.44,NA,NA,-1,-1,-1,-1,-1,-1,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,22,79
1851,0.00124,India,143000000000,6628000000000,IN,197473224,724.4,25.44,25.44,NA,NA,-1,-1,-1,-1,-1,-1,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,22,79
1852,0.00124,India,143500000000,6628000000000,IN,198292158,724.4,25.44,25.44,NA,NA,-1,-1,-1,-1,-1,-1,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,22,79
1853,0.00124,India,144100000000,6628000000000,IN,199114466,724.4,25.44,25.44,NA,NA,-1,-1,-1,-1,-1,-1,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,22,79
1854,0.00124,India,144600000000,6628000000000,IN,199940164,724.4,25.44,25.44,NA,NA,-1,-1,-1,-1,-1,-1,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,22,79
1855,0.00124,India,145200000000,6628000000000,IN,200769265,724.4,25.44,25.44,NA,NA,-1,-1,-1,-1,-1,-1,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,22,79
1856,0.00124,India,145700000000,6628000000000,IN,201601782,724.4,25.44,25.44,NA,NA,-1,-1,-1,-1,-1,-1,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,22,79
1857,0.00124,India,146300000000,6628000000000,IN,202437730,724.4,25.44,25.44,NA,NA,-1,-1,-1,-1,-1,-1,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,22,79
1858,0.00124,India,146800000000,6628000000000,IN,203277124,724.4,25.44,25.44,436.373,NA,-1,-1,-1,-1,-1,-1,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,22,79
1859,0.00124,India,147400000000,6628000000000,IN,204119976,724.4,25.44,25.44,704.064,NA,-1,-1,-1,-1,-1,-1,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,22,79
1860,0.00124,India,148000000000,6628000000000,IN,204966302,724.5,23,23,711.398,NA,-1,-1,-1,-1,-1,-1,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,22,79
1861,0.00124,India,148500000000,6628000000000,IN,205817909,724.5,22,22,550.05,NA,-1,-1,-1,-1,-1,-1,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,22,79
1862,0.00124,India,149100000000,6628000000000,IN,206674827,724.5,25.44,25.44,608.722,NA,-1,-1,-1,-1,-1,-1,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,22,79
1863,0.00124,India,149700000000,6628000000000,IN,207537087,724.5,25.44,25.44,674.728,NA,-1,-1,-1,-1,-1,-1,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,22,79
1864,0.00124,India,150300000000,6628000000000,IN,208404719,724.5,25.25,25.25,638.058,NA,-1,-1,-1,-1,-1,-1,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,22,79
1865,0.00124,India,150800000000,6628000000000,IN,209277754,724.5,25.25,25.25,627.057,NA,-1,-1,-1,-1,-1,-1,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,22,79
1866,0.00124,India,151400000000,6628000000000,IN,210156222,724.5,21.04,21.04,707.731,NA,-1,-1,-1,-1,-1,-1,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,22,79
1867,0.00124,India,152000000000,6628000000000,IN,211040155,724.5,25.25,25.25,NA,NA,-1,-1,-1,-1,-1,-1,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,22,79
1868,0.00124,India,152600000000,6628000000000,IN,211929582,724.5,25.25,25.25,NA,NA,-1,-1,-1,-1,-1,-1,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,22,79
1869,0.00124,India,153200000000,6628000000000,IN,212824536,724.5,21.3,21.3,NA,NA,-1,-1,-1,-1,-1,-1,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,22,79
1870,0.00124,India,153700000000,6628000000000,IN,213725048,724.5,25.44,25.44,NA,NA,-1,-1,-1,-1,-1,-1,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,22,79
1871,0.2295,India,154700000000,6628000000000,IN,214631149,726.2,25.44,25.44,NA,NA,-1,-1,-1,-1,-1,-1,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,22,79
1872,0.2295,India,155700000000,6628000000000,IN,215542872,727.9,25.44,25.44,NA,NA,-1,-1,-1,-1,-1,-1,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,22,79
1873,0.2295,India,156700000000,6628000000000,IN,216440443,729.5,25.44,25.44,NA,NA,-1,-1,-1,-1,-1,-1,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,22,79
1874,0.2295,India,157700000000,6628000000000,IN,217364049,731.2,25.44,25.44,NA,NA,-1,-1,-1,-1,-1,-1,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,22,79
1875,0.2295,India,158600000000,6628000000000,IN,218293566,732.9,25.11,25.11,NA,NA,-1,-1,-1,-1,-1,-1,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,22,79
1876,0.2295,India,159600000000,6628000000000,IN,219229029,734.6,20,20,NA,NA,-1,-1,-1,-1,-1,-1,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,22,79
1877,0.2295,India,160700000000,6628000000000,IN,220156250,736.3,19,19,NA,NA,-1,-1,-1,-1,-1,-1,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,22,79
1878,0.2295,India,161700000000,6628000000000,IN,221105391,738,20.01,20.01,1954.511,NA,-1,-1,-1,-1,-1,-1,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,22,79
1879,0.2295,India,162700000000,6628000000000,IN,222060831,739.7,25.45,25.45,1855.502,NA,-1,-1,-1,-1,-1,-1,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,22,79
1880,0.2295,India,163700000000,6628000000000,IN,223020376,741.3,25.45,25.45,2075.522,NA,-1,-1,-1,-1,-1,-1,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,22,79
1881,0.2295,India,164700000000,6628000000000,IN,223974535,743.1,25.45,25.45,2024.184,NA,-1,-1,-1,-1,-1,-1,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,22,79
1882,0.2295,India,165800000000,6628000000000,IN,224942302,744.8,25.33,25.33,2405.552,NA,-1,-1,-1,-1,-1,-1,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,22,79
1883,0.2295,India,166800000000,6628000000000,IN,225914228,746.5,25.22,25.22,2684.244,NA,-1,-1,-1,-1,-1,-1,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,22,79
1884,0.2295,India,167900000000,6628000000000,IN,226881902,748.2,25.1,25.1,2988.605,NA,-1,-1,-1,-1,-1,-1,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,22,79
1885,2.944,India,173500000000,6628000000000,IN,227862161,770.2,24.98,24.98,2698.912,NA,-1,-1,-1,-1,-1,-1,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,22,79
1886,-3.345,India,168400000000,6628000000000,IN,228846632,744.4,24.86,24.86,3028.942,NA,-1,-1,-1,-1,-1,-1,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,22,79
1887,4.366,India,176400000000,6628000000000,IN,229828015,776.9,24.75,24.75,3355.305,NA,-1,-1,-1,-1,-1,-1,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,22,79
1888,0.7314,India,178400000000,6628000000000,IN,230820932,782.6,24.43,24.43,3725.672,NA,-1,-1,-1,-1,-1,-1,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,22,79
1889,-2.896,India,174000000000,6628000000000,IN,231818115,760,24.31,24.31,4382.065,NA,-1,-1,-1,-1,-1,-1,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,22,79
1890,4.461,India,182400000000,6628000000000,IN,232819582,793.9,24.4,24.4,4833.106,NA,-1,-1,-1,-1,-1,-1,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,22,79
1891,-9.355,India,166000000000,6628000000000,IN,233825351,719.6,23.05,23.05,5203.473,NA,-1,-1,-1,-1,-1,-1,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,22,79
1892,7.842,India,179800000000,6628000000000,IN,234835442,776,22.67,22.67,5716.853,NA,-1,-1,-1,-1,-1,-1,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,22,79
1893,2.355,India,184700000000,6628000000000,IN,235849871,794.3,24.13,24.13,6017.547,NA,-1,-1,-1,-1,-1,-1,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,22,79
1894,1.358,India,188000000000,6628000000000,IN,236868658,805.1,24.05,24.05,6138.558,NA,-1,-1,-1,-1,-1,-1,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,22,79
1895,-2.628,India,183800000000,6628000000000,IN,237891822,783.9,23.97,23.97,7689.699,NA,-1,-1,-1,-1,-1,-1,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,22,79
1896,-7.534,India,170600000000,6628000000000,IN,238919380,724.9,22.77,22.77,8320.423,NA,-1,-1,-1,-1,-1,-1,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,22,79
1897,18.07,India,202300000000,6628000000000,IN,239951353,855.8,19.87,19.87,9006.152,NA,-1,-1,-1,-1,-1,-1,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,22,79
1898,0.03084,India,203100000000,6628000000000,IN,240987759,856.1,25.77,25.77,9977.907,NA,-1,-1,-1,-1,-1,-1,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,22,79
1899,-7.947,India,187700000000,6628000000000,IN,242028616,788.1,23.37,23.37,10997.333,NA,-1,-1,-1,-1,-1,-1,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,22,79
1900,3.329,India,194800000000,6628000000000,IN,243073944,814.3,18.37,18.37,13061.854,NA,-1,-1,-1,-1,-1,-1,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,22,79
1901,1.442,India,198400000000,6628000000000,IN,244123762,826,23.07,23.07,14407.643,NA,-1,-1,-1,-1,-1,-1,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,22,79
1902,7.685,India,214500000000,6628000000000,IN,245171583,889.5,23.62,23.62,15889.111,NA,-1,-1,-1,-1,-1,-1,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,22,79
1903,0.8039,India,217000000000,6628000000000,IN,246230410,896.7,23.44,23.44,16178.804,NA,-1,-1,-1,-1,-1,-1,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,22,79
1904,-0.1397,India,217600000000,6628000000000,IN,247293784,895.4,22.02,22.02,18081.977,NA,-1,-1,-1,-1,-1,-1,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,22,79
1905,-2.411,India,213200000000,6628000000000,IN,248361726,873.8,21.92,21.92,18489.014,NA,-1,-1,-1,-1,-1,-1,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,22,79
1906,2.232,India,218800000000,6628000000000,IN,249434255,893.3,21.92,21.92,21360.275,NA,-1,-1,-1,-1,-1,-1,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,22,79
1907,-6.624,India,205200000000,6628000000000,IN,250502083,834.2,19.26,19.26,23835.5,NA,-1,-1,-1,-1,-1,-1,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,22,79
1908,0.821,India,207700000000,6628000000000,IN,251583803,841,23.28,23.28,27271.479,NA,-1,-1,-1,-1,-1,-1,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,22,79
1909,13.06,India,235700000000,6628000000000,IN,252670168,950.8,23.24,23.24,26340.061,NA,-1,-1,-1,-1,-1,-1,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,22,79
1910,-0.4359,India,235600000000,6628000000000,IN,253761199,946.7,23.21,23.21,25716.671,NA,-1,-1,-1,-1,-1,-1,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,22,79
1911,-0.8438,India,234600000000,6628000000000,IN,254854210,938.7,23.18,23.18,27135.8,NA,-1,-1,-1,-1,-1,-1,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,22,79
1912,-0.2936,India,234800000000,6628000000000,IN,255954620,935.9,23.37,23.37,31242.84,NA,-1,-1,-1,-1,-1,-1,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,22,79
1913,-2.348,India,230200000000,6628000000000,IN,257205039,914,23.56,23.56,34466.133,NA,-1,-1,-1,-1,-1,-1,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,22,79
1914,5.359,India,244000000000,6628000000000,IN,258607037,962.9,23.75,23.75,34744.825,NA,-1,-1,-1,-1,-1,-1,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,22,79
1915,-2.52,India,239200000000,6628000000000,IN,260162191,938.7,23.95,23.95,36306.967,NA,-1,-1,-1,-1,-1,-1,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,22,79
1916,2.819,India,247300000000,6628000000000,IN,261726671,965.1,24.15,24.15,36710.337,NA,-1,-1,-1,-1,-1,-1,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,22,79
1917,-1.902,India,244000000000,6628000000000,IN,263300532,946.8,24.34,24.34,38389.823,NA,-1,-1,-1,-1,-1,-1,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,22,79
1918,-12.87,India,213800000000,6628000000000,IN,264771644,825,8.12,8.12,43193.593,NA,-1,-1,-1,-1,-1,-1,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,22,79
1919,13.71,India,244500000000,6628000000000,IN,266279179,938.1,24.62,24.62,47161.287,NA,-1,-1,-1,-1,-1,-1,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,22,79
1920,-8.005,India,226200000000,6628000000000,IN,267795298,863,24.76,24.76,38191.805,NA,-1,-1,-1,-1,-1,-1,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,22,79
1921,6.998,India,243400000000,6628000000000,IN,269320048,923.4,24.9,24.9,41077.734,NA,-1,-1,-1,-1,-1,-1,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,22,79
1922,3.178,India,252600000000,6628000000000,IN,270853481,952.7,25.34,25.34,40421.341,NA,-1,-1,-1,-1,-1,-1,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,22,79
1923,-4.242,India,243200000000,6628000000000,IN,272395644,912.3,25.79,25.79,41609.449,NA,-1,-1,-1,-1,-1,-1,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,22,79
1924,3.844,India,254000000000,6628000000000,IN,273946588,947.3,26.24,26.24,44546.716,NA,-1,-1,-1,-1,-1,-1,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,22,79
1925,0.171,India,255900000000,6628000000000,IN,275506362,949,26.69,26.69,43952.662,NA,-1,-1,-1,-1,-1,-1,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,22,79
